hello,hola
world,mundo
friend,amigo
my,mi
name,nombre
is,es
goodbye,adiós
please,por favor
thanks,gracias  
sorry,lo siento
yes,sí
no,no
who,¿quién?
what,¿qué?
why,¿por qué?
where,¿dónde?
birthday,cumpleaños
//dummy words, used to test the speed of the program
2,0
10,80 (part of the test dictionary)
&c,wdwd
10,-point
10,th (part of the test dictionary)
11,-point
12,-point
16,-point
18,-point
1s,twdd
2,4-d
20,-point
2D,wdadwd
2n,d
30,-30
3D,wdawdw
3-,D
3M,wadwad
3r,d
48,-point
4-,D
4G,L
4H,wadwad
4t,h
5-,point
5-,T
5t,h
6-,point
6t,h
7-,point
7t,h
8-,point
8t,h
9-,point
9t,h
a,wadwd
a',awwdwad
a-,wwadawd
A&,M
A&,P
A.,awdwad
A.,A.A.
A.,B.
A.,B.A.
A.,C.
A.,D.
A.,D.C.
A.,F.
A.,F.A.M.
A.,G.
A.,H.
A.,I.
A.,I.A.
A.,I.D.
A.,L.
A.,L.P.
A.,M.
A.,M.A.
A.,M.D.G.
A.,N.
a.,p.
a.,r.
A.,R.C.S.
A.,U.
A.,U.C.
A.,V.
a.,w.
A.,W.O.L.
A/,C
A/,F
A/,O
A/,P
A/,V
A1,wadwad
A-,1
A4,wadawd
A5,wadwad
AA,wadwad
AA,A
AA,AA
AA,AAAA
AA,AL
AA,AS
Aa,berg
Aa,chen
AA,E
AA,EE
AA,F
AA,G
aa,h
aa,hed
aa,hing
aa,hs
AA,II
aa,l
Aa,lborg
Aa,lesund
aa,lii
aa,liis
aa,ls
Aa,lst
Aa,lto
AA,M
AA,MSI
Aa,ndahl
A-,and-R
Aa,ni
AA,O
AA,P
AA,PSS
Aa,qbiye
Aa,r
Aa,ra
Aa,rau
AA,RC
aa,rdvark
aa,rdvarks
aa,rdwolf
aa,rdwolves
Aa,ren
Aa,rgau
aa,rgh
Aa,rhus
Aa,rika
Aa,ron
Aa,ronic
Aa,ronical
Aa,ronite
Aa,ronitic
Aa,ron's-beard
Aa,ronsburg
Aa,ronson
AA,RP
aa,rrgh
aa,rrghh
Aa,ru
AA,S
A',asia
aa,svogel
aa,svogels
AA,U
AA,UP
AA,UW
AA,VSO
AA,X
A-,axes
A-,axis
AB,wadawd
ab,-wadwad
AB,A
Ab,aba
Ab,abdeh
Ab,abua
ab,ac
ab,aca
ab,acay
ab,acas
ab,acate
ab,acaxi
ab,aci
ab,acinate
ab,acination
ab,acisci
ab,aciscus
ab,acist
ab,ack
ab,acli
Ab,aco
ab,acot
ab,acterial
ab,actinal
ab,actinally
ab,action
ab,actor
ab,aculi
ab,aculus
ab,acus
ab,acuses
Ab,ad
ab,ada
Ab,adan
Ab,addon
ab,adejo
ab,adengo
ab,adia
Ab,adite
ab,aff
ab,aft
Ab,agael
Ab,agail
Ab,agtha
ab,ay
ab,ayah
Ab,ailard
ab,aisance
ab,aised
ab,aiser
ab,aisse
ab,aissed
ab,aka
Ab,akan
ab,akas
Ab,akumov
ab,alation
ab,alienate
ab,alienated
ab,alienating
ab,alienation
ab,alone
ab,alones
Ab,ama
ab,amp
ab,ampere
ab,amperes
ab,amps
Ab,ana
ab,and
ab,andon
ab,andonable
ab,andoned
ab,andonedly
ab,andonee
ab,andoner
ab,andoners
ab,andoning
ab,andonment
ab,andonments
ab,andons
ab,andum
ab,anet
ab,anga
Ab,anic
ab,annition
Ab,antes
ab,apical
ab,aptiston
ab,aptistum
Ab,arambo
Ab,arbarea
Ab,aris
ab,arthrosis
ab,articular
ab,articulation
Ab,as
ab,ase
ab,ased
ab,asedly
ab,asedness
ab,asement
ab,asements
ab,aser
ab,asers
ab,ases
Ab,asgi
ab,ash
ab,ashed
ab,ashedly
ab,ashedness
ab,ashes
ab,ashing
ab,ashless
ab,ashlessly
ab,ashment
ab,ashments
ab,asia
ab,asias
ab,asic
ab,asing
ab,asio
ab,ask
ab,assi
Ab,assieh
Ab,assin
ab,astard
ab,astardize
ab,astral
ab,atable
ab,atage
Ab,ate
ab,ated
ab,atement
ab,atements
ab,ater
ab,aters
ab,ates
ab,atic
ab,ating
ab,atis
ab,atised
ab,atises
ab,atjour
ab,atjours
ab,aton
ab,ator
ab,ators
AB,ATS
ab,attage
ab,attis
ab,attised
ab,attises
ab,attoir
ab,attoirs
ab,attu
ab,attue
Ab,atua
ab,ature
ab,aue
ab,ave
ab,axial
ab,axile
ab,aze
ab,b
Ab,ba
ab,bacy
ab,bacies
ab,bacomes
Ab,badide
Ab,bai
ab,baye
ab,bandono
ab,bas
ab,basi
Ab,basid
ab,bassi
Ab,bassid
Ab,basside
Ab,bate
ab,batial
ab,batical
ab,batie
Ab,be
Ab,bey
ab,beys
ab,bey's
ab,beystead
ab,beystede
ab,bes
ab,bess
ab,besses
ab,best
Ab,bevilean
Ab,beville
Ab,bevillian
Ab,bi
Ab,by
Ab,bie
Ab,bye
Ab,byville
ab,boccato
ab,bogada
Ab,bot
ab,botcy
ab,botcies
ab,botnullius
ab,botric
ab,bots
ab,bot's
Ab,botsen
Ab,botsford
ab,botship
ab,botships
Ab,botson
Ab,botsun
Ab,bott
Ab,bottson
Ab,bottstown
Ab,boud
ab,bozzo
AB,BR
ab,brev
ab,breviatable
ab,breviate
ab,breviated
ab,breviately
ab,breviates
ab,breviating
ab,breviation
ab,breviations
ab,breviator
ab,breviatory
ab,breviators
ab,breviature
ab,broachment
AB,C
ab,cess
ab,cissa
ab,coulomb
AB,Cs
ab,d
ab,dal
ab,dali
ab,daria
ab,dat
Ab,del
Ab,d-el-Kadir
Ab,d-el-Krim
Ab,della
Ab,derhalden
Ab,derian
Ab,derite
Ab,derus
ab,dest
Ab,dias
ab,dicable
ab,dicant
ab,dicate
ab,dicated
ab,dicates
ab,dicating
ab,dication
ab,dications
ab,dicative
ab,dicator
Ab,diel
ab,ditive
ab,ditory
ab,dom
ab,domen
ab,domens
ab,domen's
ab,domina
ab,dominal
Ab,dominales
ab,dominalia
ab,dominalian
ab,dominally
ab,dominals
ab,dominoanterior
ab,dominocardiac
ab,dominocentesis
ab,dominocystic
ab,dominogenital
ab,dominohysterectomy
ab,dominohysterotomy
ab,dominoposterior
ab,dominoscope
ab,dominoscopy
ab,dominothoracic
ab,dominous
ab,domino-uterotomy
ab,dominovaginal
ab,dominovesical
Ab,don
Ab,du
ab,duce
ab,duced
ab,ducens
ab,ducent
ab,ducentes
ab,duces
ab,ducing
ab,duct
ab,ducted
ab,ducting
ab,duction
ab,ductions
ab,duction's
ab,ductor
ab,ductores
ab,ductors
ab,ductor's
ab,ducts
Ab,dul
Ab,dul-Aziz
Ab,dul-baha
Ab,dulla
Ab,e
a-,be
ab,eam
ab,ear
ab,earance
Ab,ebi
ab,ecedaire
ab,ecedary
ab,ecedaria
ab,ecedarian
ab,ecedarians
ab,ecedaries
ab,ecedarium
ab,ecedarius
ab,ed
ab,ede
ab,edge
Ab,ednego
ab,egge
Ab,ey
ab,eyance
ab,eyances
ab,eyancy
ab,eyancies
ab,eyant
ab,eigh
AB,EL
Ab,elard
ab,ele
ab,eles
Ab,elia
Ab,elian
Ab,elicea
Ab,elite
Ab,ell
Ab,elmoschus
ab,elmosk
ab,elmosks
ab,elmusk
Ab,elonian
Ab,elson
ab,eltree
Ab,encerrages
ab,end
ab,ends
Ab,enezra
ab,enteric
Ab,eokuta
ab,epithymia
AB,EPP
Ab,ercromby
Ab,ercrombie
Ab,erdare
ab,erdavine
Ab,erdeen
Ab,erdeenshire
ab,erdevine
Ab,erdonian
ab,erduvine
Ab,erfan
Ab,erglaube
Ab,eria
Ab,erystwyth
Ab,ernant
Ab,ernathy
ab,ernethy
Ab,ernon
ab,err
ab,errance
ab,errancy
ab,errancies
ab,errant
ab,errantly
ab,errants
ab,errate
ab,errated
ab,errating
ab,erration
ab,errational
ab,errations
ab,errative
ab,errator
ab,errometer
ab,erroscope
Ab,ert
ab,eruncate
ab,eruncator
ab,esse
ab,essive
ab,et
ab,etment
ab,etments
ab,ets
ab,ettal
ab,ettals
ab,etted
ab,etter
ab,etters
ab,etting
ab,ettor
ab,ettors
Ab,eu
ab,evacuation
ab,farad
ab,farads
AB,FM
Ab,gatha
AB,HC
ab,henry
ab,henries
ab,henrys
ab,hinaya
ab,hiseka
ab,hominable
ab,hor
ab,horred
ab,horrence
ab,horrences
ab,horrency
ab,horrent
ab,horrently
ab,horrer
ab,horrers
ab,horrible
ab,horring
ab,hors
Ab,horson
AB,I
ab,y
Ab,ia
Ab,iathar
Ab,ib
ab,ichite
ab,idal
ab,idance
ab,idances
ab,idden
ab,ide
ab,ided
ab,ider
ab,iders
ab,ides
ab,idi
ab,iding
ab,idingly
ab,idingness
Ab,idjan
Ab,ydos
Ab,ie
ab,ye
ab,ied
ab,yed
ab,iegh
ab,ience
ab,ient
Ab,ies
ab,yes
ab,ietate
ab,ietene
ab,ietic
ab,ietin
Ab,ietineae
ab,ietineous
ab,ietinic
ab,ietite
Ab,iezer
Ab,igael
Ab,igail
ab,igails
ab,igailship
Ab,igale
ab,igeat
ab,igei
ab,igeus
Ab,ihu
ab,ying
Ab,ijah
Ab,yla
ab,ilao
Ab,ilene
ab,iliment
Ab,ilyne
ab,ilitable
ab,ility
ab,ilities
ab,ility's
ab,illa
ab,ilo
ab,ime
Ab,imelech
Ab,ineri
Ab,ingdon
Ab,inger
Ab,ington
Ab,inoam
Ab,inoem
ab,intestate
ab,iogeneses
ab,iogenesis
ab,iogenesist
ab,iogenetic
ab,iogenetical
ab,iogenetically
ab,iogeny
ab,iogenist
ab,iogenous
ab,iology
ab,iological
ab,iologically
ab,ioses
ab,iosis
ab,iotic
ab,iotical
ab,iotically
ab,iotrophy
ab,iotrophic
Ab,ipon
Ab,iquiu
ab,ir
ab,irritant
ab,irritate
ab,irritated
ab,irritating
ab,irritation
ab,irritative
ab,ys
Ab,isag
Ab,isha
Ab,ishag
Ab,isia
ab,ysm
ab,ysmal
ab,ysmally
ab,ysms
Ab,yss
ab,yssa
ab,yssal
ab,ysses
Ab,yssinia
Ab,yssinian
ab,yssinians
ab,yssobenthonic
ab,yssolith
ab,yssopelagic
ab,yss's
ab,yssus
ab,iston
ab,it
Ab,itibi
Ab,iu
ab,iuret
Ab,ixah
ab,ject
ab,jectedness
ab,jection
ab,jections
ab,jective
ab,jectly
ab,jectness
ab,jectnesses
ab,joint
ab,judge
ab,judged
ab,judging
ab,judicate
ab,judicated
ab,judicating
ab,judication
ab,judicator
ab,jugate
ab,junct
ab,junction
ab,junctive
ab,juration
ab,jurations
ab,juratory
ab,jure
ab,jured
ab,jurement
ab,jurer
ab,jurers
ab,jures
ab,juring
ab,kar
ab,kari
ab,kary
Ab,khas
Ab,khasia
Ab,khasian
Ab,khaz
Ab,khazia
Ab,khazian
ab,l
ab,l.
ab,lach
ab,lactate
ab,lactated
ab,lactating
ab,lactation
ab,laqueate
ab,lare
A-,blast
ab,lastemic
ab,lastin
ab,lastous
ab,late
ab,lated
ab,lates
ab,lating
ab,lation
ab,lations
ab,latitious
ab,latival
ab,lative
ab,latively
ab,latives
ab,lator
ab,laut
ab,lauts
ab,laze
ab,le
ab,le-bodied
ab,le-bodiedness
ab,leeze
ab,legate
ab,legates
ab,legation
ab,le-minded
ab,le-mindedness
ab,lend
ab,leness
ab,lepharia
ab,lepharon
ab,lepharous
Ab,lepharus
ab,lepsy
ab,lepsia
ab,leptical
ab,leptically
ab,ler
ab,les
ab,lesse
ab,lest
ab,let
ab,lewhackets
ab,ly
ab,lings
ab,lins
ab,lock
ab,loom
ab,low
AB,LS
ab,lude
ab,luent
ab,luents
ab,lush
ab,lute
ab,luted
ab,lution
ab,lutionary
ab,lutions
ab,luvion
AB,M
ab,mho
ab,mhos
ab,modality
ab,modalities
ab,n
Ab,naki
Ab,nakis
ab,negate
ab,negated
ab,negates
ab,negating
ab,negation
ab,negations
ab,negative
ab,negator
ab,negators
Ab,ner
ab,nerval
ab,net
ab,neural
ab,normal
ab,normalcy
ab,normalcies
ab,normalise
ab,normalised
ab,normalising
ab,normalism
ab,normalist
ab,normality
ab,normalities
ab,normalize
ab,normalized
ab,normalizing
ab,normally
ab,normalness
ab,normals
ab,normity
ab,normities
ab,normous
ab,numerable
Ab,o
ab,oard
ab,oardage
Ab,obra
ab,ococket
ab,odah
ab,ode
ab,oded
ab,odement
ab,odes
ab,ode's
ab,ody
ab,oding
ab,ogado
ab,ogados
ab,ohm
ab,ohms
ab,oideau
ab,oideaus
ab,oideaux
ab,oil
ab,oiteau
ab,oiteaus
ab,oiteaux
ab,olete
ab,olish
ab,olishable
ab,olished
ab,olisher
ab,olishers
ab,olishes
ab,olishing
ab,olishment
ab,olishments
ab,olishment's
ab,olition
ab,olitionary
ab,olitionise
ab,olitionised
ab,olitionising
ab,olitionism
ab,olitionist
ab,olitionists
ab,olitionize
ab,olitionized
ab,olitionizing
ab,olitions
ab,olla
ab,ollae
ab,oma
ab,omas
ab,omasa
ab,omasal
ab,omasi
ab,omasum
ab,omasus
ab,omasusi
A-,bomb
ab,ominability
ab,ominable
ab,ominableness
